2023-01-12 23:19:08 INFO  WebdriverEvents:43 - navigating tohttps://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-12 23:19:21 INFO  WebdriverEvents:49 - Navigated tohttps://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-12 23:19:21 INFO  CustomListener:17 - Test execution has started for : VerifyUserIsAbleToSignUpSuccessFully
2023-01-12 23:19:21 INFO  WebdriverEvents:90 - Finding elementBy.cssSelector: a[title='My Account']
2023-01-12 23:19:22 INFO  WebdriverEvents:96 - Element FoundBy.cssSelector: a[title='My Account']
2023-01-12 23:19:22 INFO  WebdriverEvents:102 - clicking on[[ChromeDriver: chrome on WINDOWS (8a9767a2d12370d448ed1605fe516a44)] -> css selector: a[title='My Account']]
2023-01-12 23:19:22 INFO  WebdriverEvents:107 - clicked on[[ChromeDriver: chrome on WINDOWS (8a9767a2d12370d448ed1605fe516a44)] -> css selector: a[title='My Account']]
2023-01-12 23:19:22 INFO  WebdriverEvents:90 - Finding elementBy.xpath: //a[text()='Register']
2023-01-12 23:19:22 INFO  WebdriverEvents:96 - Element FoundBy.xpath: //a[text()='Register']
2023-01-12 23:19:22 INFO  WebdriverEvents:102 - clicking on[[ChromeDriver: chrome on WINDOWS (8a9767a2d12370d448ed1605fe516a44)] -> xpath: //a[text()='Register']]
2023-01-12 23:19:24 INFO  WebdriverEvents:107 - clicked on[[ChromeDriver: chrome on WINDOWS (8a9767a2d12370d448ed1605fe516a44)] -> xpath: //a[text()='Register']]
2023-01-12 23:19:25 INFO  WebdriverEvents:90 - Finding elementBy.id: input-firstname
2023-01-12 23:19:25 INFO  WebdriverEvents:96 - Element FoundBy.id: input-firstname
2023-01-12 23:19:26 INFO  WebdriverEvents:90 - Finding elementBy.id: input-lastname
2023-01-12 23:19:26 INFO  WebdriverEvents:96 - Element FoundBy.id: input-lastname
2023-01-12 23:19:26 INFO  WebdriverEvents:90 - Finding elementBy.id: input-email
2023-01-12 23:19:26 INFO  WebdriverEvents:96 - Element FoundBy.id: input-email
2023-01-12 23:19:26 INFO  WebdriverEvents:90 - Finding elementBy.id: input-telephone
2023-01-12 23:19:26 INFO  WebdriverEvents:96 - Element FoundBy.id: input-telephone
2023-01-12 23:19:27 INFO  WebdriverEvents:90 - Finding elementBy.id: input-password
2023-01-12 23:19:27 INFO  WebdriverEvents:96 - Element FoundBy.id: input-password
2023-01-12 23:19:27 INFO  WebdriverEvents:90 - Finding elementBy.id: input-confirm
2023-01-12 23:19:27 INFO  WebdriverEvents:96 - Element FoundBy.id: input-confirm
2023-01-12 23:19:27 INFO  WebdriverEvents:90 - Finding elementBy.xpath: //input[@type='checkbox']
2023-01-12 23:19:27 INFO  WebdriverEvents:96 - Element FoundBy.xpath: //input[@type='checkbox']
2023-01-12 23:19:27 INFO  WebdriverEvents:102 - clicking on[[ChromeDriver: chrome on WINDOWS (8a9767a2d12370d448ed1605fe516a44)] -> xpath: //input[@type='checkbox']]
2023-01-12 23:19:28 INFO  WebdriverEvents:107 - clicked on[[ChromeDriver: chrome on WINDOWS (8a9767a2d12370d448ed1605fe516a44)] -> xpath: //input[@type='checkbox']]
2023-01-12 23:19:28 INFO  WebdriverEvents:90 - Finding elementBy.xpath: //input[@type='submit']
2023-01-12 23:19:28 INFO  WebdriverEvents:96 - Element FoundBy.xpath: //input[@type='submit']
2023-01-12 23:19:29 INFO  WebdriverEvents:90 - Finding elementBy.cssSelector: #content h1
2023-01-12 23:19:29 INFO  WebdriverEvents:96 - Element FoundBy.cssSelector: #content h1
2023-01-12 23:19:29 INFO  WebdriverEvents:167 - getting text from [[ChromeDriver: chrome on WINDOWS (8a9767a2d12370d448ed1605fe516a44)] -> css selector: #content h1]
